OBJECTID;IN_FID;NEAR_FID;NEAR_DIST;NEAR_RANK;FROM_X;FROM_Y;NEAR_X;NEAR_Y
;3227;3313;0,212869235002726;1;-485168,266340466860000;-1116147,433484986400000;-485168,418288391550000;-1116147,582565969100000
;3228;3314;0,228473193228196;1;-485168,678514099100000;-1116147,014006042400000;-485168,888514099120000;-1116147,104006042500000
;3229;3315;0,333530913457916;1;-485169,427586912000000;-1116145,606970201500000;-485169,743089127470000;-1116145,498798013400000
;3230;3316;0,123277376722808;1;-485170,145591252190000;-1116145,002878604700000;-485170,243517602100000;-1116145,077763460300000
;3231;3317;0,093707075999272;1;-485170,016476263870000;-1116144,043181566100000;-485170,107385480890000;-1116144,065908870200000
;3232;3319;0,173387612067089;1;-485170,312500000000000;-1116143,000000000000000;-485170,454544666400000;-1116143,099431266500000
;3233;3321;0,123931124890287;1;-485171,157605450660000;-1116141,233693128200000;-485171,255430758810000;-1116141,309779479200000
;3234;3322;0,108713968705611;1;-485171,203946536290000;-1116140,361842369400000;-485171,307564458050000;-1116140,328947791100000
;3235;3323;0,157194562236246;1;-485171,099296870520000;-1116139,596965732100000;-485171,189833634010000;-1116139,468461938900000
;3236;3324;0,104855141308442;1;-485171,067754531280000;-1116139,313084678500000;-485171,169973457760000;-1116139,289720352500000
;3237;3325;0,122863343347102;1;-485171,081893234860000;-1116139,046333627100000;-485171,178875687300000;-1116139,121764423600000
;3238;3327;0,134231103661121;1;-485171,307066637090000;-1116138,133151858300000;-485171,429116579820000;-1116138,189024934800000
;3239;3328;0,199651761694861;1;-485171,332720918230000;-1116137,926476528200000;-485171,460669773220000;-1116138,079740732900000
;3240;3329;0,170018381423386;1;-485171,473749160770000;-1116137,139999389600000;-485171,611249160780000;-1116137,239999389700000
;3241;3330;0,171372317462502;1;-485171,492944292670000;-1116136,887096377300000;-485171,644155160930000;-1116136,806450580700000
;3242;3331;0,179599043231995;1;-485171,521564716300000;-1116135,992956157300000;-485171,666812943240000;-1116136,098591231500000
;3243;3332;0,144246114826904;1;-485171,495531335120000;-1116135,626787466000000;-485171,629460490480000;-1116135,573215803800000
;3244;3333;0,162336761550978;1;-485171,514612191120000;-1116134,917209143300000;-485171,644481600380000;-1116135,014611200200000
;3245;3334;0,164305450133029;1;-485171,586536655780000;-1116134,451923754100000;-485171,740380642760000;-1116134,394232258900000
;3246;3335;0,214918156884328;1;-485171,745974777910000;-1116133,600242476400000;-485171,854265810050000;-1116133,785884245800000
;3247;3336;0,190572917944125;1;-485172,268749999990000;-1116132,600000000100000;-485172,456248959640000;-1116132,634090720000000
;3248;3337;0,216437733015073;1;-485172,319587628880000;-1116132,195376211800000;-485172,495532646080000;-1116132,321426373200000
;3249;3338;0,480346485046227;1;-485175,477170468310000;-1116130,168267537800000;-485175,218746278380000;-1116130,573174544100000
;3250;3338;0,634674404313404;1;-485175,457633967800000;-1116129,985174313400000;-485175,218746278380000;-1116130,573174544100000
;3251;3338;0,775921656279125;1;-485175,371889463920000;-1116129,812515894400000;-485175,218746278380000;-1116130,573174544100000
;3252;3338;0,966689653383949;1;-485175,744139227960000;-1116129,761724524400000;-485175,218746278380000;-1116130,573174544100000
;3253;3339;0,826845003085553;1;-485175,893749999990000;-1116130,050000000000000;-485175,467674681680000;-1116130,758613069500000
;3254;3341;0,805692758885806;1;-485176,625000000000000;-1116131,375000000000000;-485176,165436226530000;-1116132,036771833700000
;3255;3345;0,407343128610967;1;-485177,937500000000000;-1116131,250000000000000;-485178,116614253840000;-1116131,615850390900000
